headline,time,datetime,url
Faking the Grade: Day 1 sidebars and graphics,"June 3, 2007",2007-06-03T12:45:04+00:00,http://clipfile.org/?p=893
"Faking the Grade: At charters, cheating’s off the charts; Loosely regulated schools among state’s worst offenders on TAKS","June 4, 2007",2007-06-04T12:56:15+00:00,http://clipfile.org/?p=895
Faking the Grade: Schools had issues from Day 1; Many troubled charters were hastily approved over TEA objections,"June 4, 2007",2007-06-04T12:57:27+00:00,http://clipfile.org/?p=896
"Faking the Grade: Efforts to stop cheating often fall short; More emphasis has been placed on TAKS, not on catching copiers","June 5, 2007",2007-06-05T12:58:35+00:00,http://clipfile.org/?p=897
Faking the Grade: Day 3 sidebars and graphics,"June 5, 2007",2007-06-05T13:02:09+00:00,http://clipfile.org/?p=898
"Taking down TAKS cheaters; Reforms include inspections at schools, honor code for students","June 12, 2007",2007-06-12T13:20:12+00:00,http://clipfile.org/?p=900
"FW school cheated, state says; Troubled charter could face closure after TAKS findings","June 15, 2007",2007-06-15T10:15:22+00:00,http://clipfile.org/?p=901
"Some feel nostalgic over W-H; Group seeks to revive fallen district, says area deserves its own schools","July 2, 2007",2007-07-02T22:30:54+00:00,http://clipfile.org/?p=903
"TEA: Teacher leaked part of TAKS; Exclusive: Amarillo educator says he wanted to help school, contends others do the same","July 13, 2007",2007-07-13T12:56:48+00:00,http://clipfile.org/?p=907
"Monitors came, TAKS scores plummeted; Houston-area school previously was cleared of cheating by state","July 21, 2007",2007-07-21T09:55:06+00:00,http://clipfile.org/?p=910
